time,lat,lon,depth,mag
2012-12-26 15:20:40.130000+00:00,22.794,95.92,3.8,4.4
2012-12-26 13:59:46.060000+00:00,22.783,95.908,18.0,4.9
2012-12-26 08:48:47.870000+00:00,23.208,96.18,35.0,4.4
2012-12-25 17:36:32.800000+00:00,28.464,66.465,35.0,5.0
2012-12-24 14:36:25.730000+00:00,37.45,70.168,44.3,4.5
2012-12-23 12:59:48.700000+00:00,36.537,70.177,217.1,4.0
2012-12-23 05:29:30.370000+00:00,36.133,70.082,109.1,4.3
2012-12-22 16:41:45.740000+00:00,22.443,94.782,134.4,5.5
2012-12-22 03:50:08.200000+00:00,5.169,94.221,46.4,5.1
2012-12-22 02:55:59.060000+00:00,36.486,71.03,125.1,4.1
2012-12-21 02:23:49.360000+00:00,28.567,88.536,45.3,4.2
2012-12-20 13:00:53.810000+00:00,27.651,76.116,10.0,3.9
2012-12-20 05:56:04.350000+00:00,22.862,95.99,10.0,4.7
2012-12-18 14:26:09.260000+00:00,33.128,84.407,10.0,4.0
2012-12-18 11:51:57.960000+00:00,25.399,96.61,32.1,4.6
2012-12-18 01:32:46.310000+00:00,19.333,95.652,38.3,4.4
2012-12-15 21:17:29.410000+00:00,4.195,89.783,10.0,4.4
2012-12-14 03:52:56.750000+00:00,35.054,73.829,57.2,4.1
2012-12-14 02:17:30.990000+00:00,22.745,95.874,10.0,4.7
2012-12-13 16:13:23.590000+00:00,23.117,96.041,10.0,4.3
2012-12-13 10:05:22.710000+00:00,22.222,92.592,10.0,4.2
2012-12-12 17:51:25.690000+00:00,36.423,70.947,182.4,4.0
2012-12-11 07:19:04.920000+00:00,23.192,93.892,67.5,4.2
2012-12-08 07:06:10.080000+00:00,22.96,70.302,10.0,4.1
2012-12-07 07:29:22.200000+00:00,36.521,70.212,215.1,4.0
2012-12-06 23:26:53.700000+00:00,28.404,66.16,10.8,4.3
2012-12-05 08:05:03.300000+00:00,25.019,95.094,105.1,4.2
2012-12-05 07:26:40.050000+00:00,30.217,67.873,10.0,4.3
2012-12-04 16:38:42.420000+00:00,37.442,72.201,204.7,4.2
2012-12-03 19:06:14.710000+00:00,36.666,70.888,189.0,4.3
2012-12-03 11:55:27.520000+00:00,23.11,95.889,35.4,4.6
2012-12-01 17:29:07.580000+00:00,36.476,71.2,90.2,4.7
2012-12-01 03:34:02.930000+00:00,34.769,80.718,10.0,4.1
2012-11-30 19:39:30.580000+00:00,27.22,88.2,25.0,4.7
2012-11-30 12:58:08.180000+00:00,22.827,95.94,10.0,4.2
2012-11-30 03:52:20.700000+00:00,25.683,95.998,97.2,4.4
2012-11-30 03:31:04.850000+00:00,36.425,71.083,123.2,4.2
2012-11-29 12:22:15.260000+00:00,14.469,94.174,74.9,4.7
2012-11-28 12:11:43.980000+00:00,22.692,96.033,10.0,4.3
2012-11-27 12:15:16.870000+00:00,30.9,78.422,23.4,4.4
2012-11-27 12:11:46.220000+00:00,36.197,82.513,10.0,4.0
2012-11-26 23:13:52.470000+00:00,13.85,93.637,53.7,5.1
2012-11-26 16:36:54.090000+00:00,32.687,88.356,35.0,4.0
2012-11-25 16:04:59.130000+00:00,32.708,71.726,32.0,4.3
2012-11-25 06:01:45.530000+00:00,23.62,91.482,39.8,4.5
2012-11-23 10:24:26.910000+00:00,22.402,95.736,10.0,4.4
2012-11-20 15:14:13.360000+00:00,36.225,70.398,153.7,4.0
2012-11-20 04:53:34.790000+00:00,30.338,67.425,10.0,4.1
2012-11-19 22:38:01.320000+00:00,30.398,67.457,9.3,4.5
2012-11-19 17:58:08.800000+00:00,30.492,67.566,11.6,4.8
2012-11-19 17:54:07.460000+00:00,30.538,67.584,10.0,5.3
2012-11-19 17:25:53.010000+00:00,22.992,95.959,31.1,4.9
2012-11-19 07:31:21.570000+00:00,36.63,71.105,211.2,4.2
2012-11-18 16:46:19.100000+00:00,19.235,95.652,11.8,4.6
2012-11-18 13:25:25.860000+00:00,32.964,69.747,35.0,4.4
2012-11-16 21:25:01.040000+00:00,32.336,96.471,10.0,4.0
2012-11-16 16:40:16.600000+00:00,37.512,72.052,119.1,4.9
2012-11-15 00:36:09.730000+00:00,4.719,94.487,50.1,4.4
2012-11-15 00:00:31.450000+00:00,32.821,92.269,40.4,4.1
2012-11-14 14:04:36.070000+00:00,22.821,96.06,10.0,4.4
2012-11-13 18:28:12.810000+00:00,22.895,95.943,10.0,5.0
2012-11-13 18:12:57.630000+00:00,7.536,94.355,53.0,4.6
2012-11-13 08:42:02.470000+00:00,23.105,96.156,10.0,4.2
2012-11-13 08:36:24.210000+00:00,23.1,96.013,10.0,4.7
2012-11-13 01:52:19.810000+00:00,19.121,95.999,22.0,4.8
2012-11-11 20:23:12.680000+00:00,32.294,76.331,10.0,4.0
2012-11-11 18:39:23.680000+00:00,29.46,81.479,37.1,4.8
2012-11-11 18:19:45.080000+00:00,23.132,95.866,28.4,5.5
2012-11-11 17:51:56.990000+00:00,36.005,70.393,68.9,4.5
2012-11-11 15:42:45.680000+00:00,7.384,93.915,10.0,4.1
2012-11-11 14:45:03.020000+00:00,22.749,95.938,8.8,4.8
2012-11-11 10:54:41.350000+00:00,22.72,95.832,6.0,5.8
2012-11-11 01:49:23.510000+00:00,22.711,95.92,10.0,4.1
2012-11-11 01:40:00.160000+00:00,23.082,95.922,12.0,4.4
2012-11-11 01:37:39.160000+00:00,22.985,96.148,10.0,4.5
2012-11-11 01:32:27.630000+00:00,22.679,95.839,13.7,4.9
2012-11-11 01:31:47.630000+00:00,23.356,95.963,20.0,4.3
2012-11-11 01:29:58.670000+00:00,22.794,95.919,10.0,4.8
2012-11-11 01:21:16.510000+00:00,22.81,95.926,17.5,4.9
2012-11-11 01:12:38.870000+00:00,23.005,95.885,13.7,6.8
2012-11-10 13:04:09.980000+00:00,36.889,71.286,225.6,4.1
2012-11-09 05:44:36.400000+00:00,36.878,73.085,51.2,4.4
2012-11-08 12:46:10.110000+00:00,36.424,71.352,90.3,4.3
2012-11-07 09:07:53.910000+00:00,36.419,70.62,189.1,4.4
2012-11-05 23:25:53.590000+00:00,36.123,70.98,92.6,4.5
2012-11-05 13:08:00.030000+00:00,28.447,86.187,77.8,4.5
2012-11-04 02:43:50.270000+00:00,36.366,71.251,119.0,4.1
2012-11-02 21:31:48.630000+00:00,24.893,95.088,106.1,4.5
2012-11-01 07:35:24.810000+00:00,37.398,70.954,220.1,4.1
2012-10-31 19:53:56.140000+00:00,8.305,93.974,76.0,4.3
2012-10-31 01:36:55.360000+00:00,35.998,70.057,116.7,4.1
2012-10-30 02:17:32.100000+00:00,36.252,70.82,187.2,4.3
2012-10-30 01:40:26.490000+00:00,26.117,92.337,62.0,4.6
2012-10-29 10:43:49.850000+00:00,34.296,82.416,35.0,4.2
2012-10-28 21:09:42.990000+00:00,37.235,69.62,26.2,4.3
2012-10-28 12:11:15.390000+00:00,36.423,71.133,208.3,4.8
2012-10-28 11:04:14.700000+00:00,23.005,94.681,103.8,4.3
2012-10-28 03:08:52.410000+00:00,10.345,92.575,58.3,5.0
2012-10-27 18:50:52.600000+00:00,13.643,92.925,21.1,4.4
2012-10-27 08:00:10.820000+00:00,37.149,70.718,62.8,4.2
2012-10-26 04:42:30.490000+00:00,24.869,96.116,10.0,4.0
2012-10-25 00:24:57.500000+00:00,36.993,73.208,65.5,4.0
2012-10-24 21:07:40.670000+00:00,28.858,94.39,10.0,4.0
2012-10-23 14:34:12.970000+00:00,29.792,66.562,10.0,4.2
2012-10-23 04:14:19.760000+00:00,36.286,70.715,102.2,4.2
2012-10-21 07:54:46.990000+00:00,13.694,96.175,35.0,4.7
2012-10-20 18:27:09.840000+00:00,28.319,91.838,25.9,4.2
2012-10-20 17:31:59.530000+00:00,37.535,69.257,22.8,4.7
2012-10-20 10:38:19.600000+00:00,7.381,91.799,25.9,4.5
